Stamp,GSR
0,690
1,693
2,695
3,690
4,693
5,696
6,695
7,687
8,692
9,694
10,700
11,698
12,694
13,695
14,689
15,687
16,697
17,690
18,696
19,690
20,697
21,695
22,689
23,696
24,687
25,694
26,691
27,696
28,694
29,688
30,682
31,691
32,697
33,688
34,688
35,684
36,692
37,694
38,695
39,695
40,690
41,692
42,699
43,689
44,695
45,692
46,691
47,700
48,694
49,688
50,684
51,688
52,695
53,691
54,685
55,691
56,690
57,690
58,681
59,698
60,691
61,689
62,694
63,691
64,686
65,690
66,695
67,690
68,689
69,697
70,684
71,691
72,690
73,695
74,691
75,686
76,696
77,696
78,698
79,698
80,683
81,688
82,691
83,687
84,692
85,691
86,695
87,686
88,697
89,694
90,691
91,691
92,689
93,695
94,691
95,687
96,693
97,694
98,692
99,692
100,690
101,692
102,695
103,690
104,694
105,692
106,693
107,691
108,691
109,693
110,691
111,695
112,696
113,695
114,689
115,688
116,692
117,689
118,691
119,694
120,696
121,692
122,687
123,692
124,693
125,688
126,689
127,698
128,691
129,693
130,691
131,694
132,687
133,685
134,694
135,686
136,690
137,701
138,696
139,700
140,689
141,685
142,698
143,693
144,690
145,688
146,682
147,692
148,692
149,690
150,690
151,694
152,695
153,697
154,685
155,689
156,692
157,690
158,686
159,689
160,699
161,686
162,683
163,681
164,689
165,687
166,685
167,694
168,689
169,685
170,696
171,687
172,689
173,698
174,699
175,696
176,687
177,693
178,693
179,693
180,690
181,689
182,697
183,698
184,689
185,683
186,702
187,682
188,685
189,701
190,696
191,694
192,692
193,692
194,704
195,698
196,690
197,692
198,698
199,691
200,698
201,696
202,692
203,692
204,690
205,688
206,689
207,692
208,692
209,689
210,696
211,696
212,687
213,691
214,695
215,687
216,694
217,683
218,690
219,694
220,693
221,700
222,692
223,695
224,693
225,689
226,691
227,686
228,694
229,697
230,691
231,685
232,685
233,695
234,694
235,687
236,692
237,686
238,693
239,687
240,686
241,686
242,690
243,686
244,693
245,690
246,690
247,684
248,693
249,686
250,689
251,693
252,692
253,692
254,696
255,697
256,680
257,691
258,694
259,687
260,683
261,692
262,692
263,686
264,693
265,691
266,694
267,689
268,697
269,689
270,687
271,691
272,688
273,694
274,690
275,689
276,688
277,692
278,695
279,692
280,694
281,692
282,691
283,691
284,694
285,685
286,689
287,687
288,691
289,698
290,691
291,687
292,688
293,693
294,691
295,691
296,689
297,682
298,696
299,691
300,687
301,688
302,701
303,692
304,691
305,689
306,693
307,692
308,689
309,688
310,689
311,692
312,686
313,691
314,700
315,690
316,692
317,689
318,685
319,697
320,689
321,686
322,687
323,695
324,687
325,695
326,690
327,688
328,687
329,688
330,693
331,699
332,685
333,688
334,700
335,693
336,689
337,687
338,693
339,697
340,692
341,686
342,689
343,687
344,687
345,681
346,691
347,689
348,688
349,689
350,692
351,690
352,694
353,696
354,691
355,694
356,689
357,690
358,684
359,690
360,685
361,693
362,686
363,684
364,694
365,694
366,689
367,691
368,688
369,691
370,692
371,692
372,683
373,695
374,690
375,690
376,692
377,685
378,692
379,699
380,697
381,695
382,691
383,694
384,685
385,691
386,689
387,687
388,692
389,689
390,685
391,690
392,693
393,684
394,697
395,693
396,694
397,692
398,698
399,698
400,688
401,693
402,688
403,687
404,682
405,690
406,694
407,687
408,688
409,693
410,692
411,688
412,699
413,698
414,689
415,700
416,691
417,701
418,691
419,701
420,692
421,700
422,695
423,691
424,690
425,684
426,696
427,693
428,692
429,683
430,687
431,691
432,694
433,691
434,694
435,696
436,692
437,694
438,695
439,694
440,691
441,691
442,696
443,694
444,696
445,700
446,691
447,695
448,688
449,697
450,689
451,695
452,691
453,699
454,700
455,689
456,690
457,695
458,697
459,688
460,697
461,695
462,696
463,695
464,696
465,702
466,688
467,693
468,689
469,692
470,699
471,698
472,698
473,700
474,698
475,697
476,698
477,696
478,697
479,692
480,697
481,697
482,699
483,695
484,690
485,699
486,695
487,687
488,695
489,696
490,686
491,693
492,693
493,704
494,685
495,693
496,690
497,697
498,698
499,704
500,701
501,696
502,696
503,690
504,697
505,692
506,694
507,697
508,692
509,694
510,697
511,699
512,693
513,699
514,698
515,697
516,699
517,698
518,690
519,705
520,696
521,700
522,695
523,693
524,699
525,690
526,697
527,693
528,696
529,698
530,692
531,692
532,701
533,700
534,693
535,700
536,702
537,701
538,689
539,699
540,692
541,696
542,700
543,701
544,704
545,695
546,703
547,703
548,696
549,693
550,697
551,700
552,697
553,693
554,703
555,701
556,690
557,699
558,698
559,696
560,697
561,691
562,706
563,701
564,702
565,692
566,693
567,700
568,698
569,692
570,696
571,695
572,698
573,698
574,694
575,696
576,701
577,688
578,697
579,700
580,705
581,695
582,693
583,700
584,702
585,698
586,698
587,694
588,695
589,703
590,706
591,699
592,694
593,694
594,696
595,700
596,700
597,697
598,692
599,692
600,696
601,696
602,704
603,699
604,700
605,704
606,698
607,695
608,697
609,694
610,703
611,703
612,696
613,700
614,691
615,705
616,696
617,698
618,700
619,703
620,702
621,690
622,705
623,696
624,691
625,703
626,703
627,701
628,699
629,696
630,698
631,701
632,707
633,691
634,698
635,701
636,697
637,711
638,697
639,701
640,703
641,701
642,707
643,697
644,696
645,703
646,696
647,700
648,695
649,697
650,700
651,704
652,698
653,700
654,697
655,697
656,705
657,704
658,702
659,699
660,699
661,705
662,701
663,694
664,695
665,702
666,698
667,700
668,692
669,706
670,703
671,692
672,696
673,698
674,703
675,701
676,705
677,708
678,701
679,697
680,704
681,703
682,702
683,701
684,696
685,699
686,694
687,702
688,697
689,709
690,700
691,695
692,693
693,702
694,699
695,697
696,697
697,695
698,701
699,700
700,700
701,692
702,701
703,707
704,694
705,698
706,693
707,699
708,702
709,699
710,697
711,701
712,702
713,702
714,695
715,695
716,698
717,693
718,695
719,699
720,699
721,702
722,691
723,704
724,697
725,700
726,703
727,690
728,702
729,695
730,694
731,699
732,697
733,696
734,694
735,700
736,703
737,697
738,693
739,700
740,700
741,704
742,700
743,701
744,698
745,700
746,703
747,697
748,702
749,695
750,696
751,696
752,697
753,697
754,702
755,695
756,696
757,702
758,697
759,701
760,701
761,694
762,692
763,698
764,696
765,695
766,699
767,699
768,700
769,698
770,695
771,705
772,694
773,706
774,699
775,696
776,695
777,697
778,704
779,691
780,702
781,694
782,705
783,698
784,699
785,698
786,694
787,697
788,701
789,701
790,702
791,707
792,693
793,699
794,700
795,694
796,699
797,692
798,697
799,702
800,693
801,699
802,703
803,691
804,697
805,697
806,695
807,699
808,699
809,705
810,698
811,698
812,697
813,694
814,701
815,698
816,697
817,697
818,698
819,699
820,694
821,697
822,702
823,698
824,695
825,697
826,694
827,704
828,695
829,700
830,689
831,698
832,693
833,700
834,699
835,706
836,704
837,699
838,697
839,699
840,692
841,690
842,694
843,697
844,702
845,699
846,704
847,700
848,696
849,693
850,697
851,697
852,694
853,693
854,698
855,699
856,702
857,698
858,695
859,696
860,694
861,704
862,703
863,700
864,697
865,696
866,699
867,695
868,704
869,693
870,699
871,697
872,692
873,696
874,702
875,695
876,702
877,691
878,696
879,692
880,701
881,693
882,696
883,694
884,698
885,693
886,702
887,693
888,698
889,690
890,696
891,699
892,693
893,696
894,688
895,697
896,690
897,691
898,698
899,694
900,688
901,693
902,691
903,704
904,697
905,697
906,692
907,689
908,694
909,700
910,699
911,694
912,698
913,696
914,695
915,698
916,688
917,691
918,701
919,700
920,689
921,697
922,692
923,700
924,695
925,702
926,690
927,701
928,689
929,691
930,696
931,695
932,699
933,698
934,696
935,687
936,694
937,689
938,697
939,699
940,702
941,694
942,697
943,697
944,692
945,693
946,696
947,700
948,690
949,691
950,689
951,702
952,700
953,695
954,697
955,700
956,697
957,693
958,696
959,697
960,690
961,696
962,696
963,692
964,688
965,696
966,697
967,696
968,701
969,696
970,702
971,699
972,699
973,693
974,702
975,698
976,692
977,694
978,696
979,687
980,693
981,694
982,698
983,694
984,693
985,696
986,689
987,696
988,693
989,691
990,696
991,690
992,688
993,702
994,697
995,698
996,702
997,698
998,697
999,697
1000,697
1001,696
1002,694
1003,696
1004,698
1005,694
1006,689
1007,698
1008,696
1009,699
1010,698
1011,689
1012,691
1013,699
1014,687
1015,689
1016,692
1017,699
1018,695
1019,696
1020,686
1021,691
1022,685
1023,692
1024,691
1025,694
1026,696
1027,703
1028,684
1029,686
1030,693
1031,692
1032,687
1033,693
1034,690
1035,692
1036,698
1037,689
1038,685
1039,688
1040,685
1041,696
1042,690
1043,700
1044,692
1045,689
1046,690
1047,694
1048,694
1049,692
1050,692
1051,695
1052,690
1053,696
1054,693
1055,688
1056,692
1057,697
1058,699
1059,691
1060,696
1061,684
1062,691
1063,693
1064,694
1065,684
1066,689
1067,688
1068,690
1069,696
1070,694
1071,693
1072,689
1073,682
1074,683
1075,700
1076,694
1077,689
1078,692
1079,695
1080,699
1081,695
1082,690
1083,693
1084,695
1085,687
1086,696
1087,696
1088,696
1089,686
1090,692
1091,690
1092,685
1093,689
1094,693
1095,689
1096,695
1097,688
1098,695
1099,685
1100,698
1101,687
1102,694
1103,698
1104,692
1105,693
1106,692
1107,697
1108,702
1109,692
1110,698
1111,692
1112,694
1113,696
1114,693
1115,686
1116,687
1117,693
1118,691
1119,687
1120,689
1121,697
1122,692
1123,692
1124,694
1125,689
1126,685
1127,690
1128,687
1129,690
1130,694
1131,694
1132,694
1133,694
1134,695
1135,695
1136,698
1137,696
1138,691
1139,697
1140,695
1141,694
1142,693
1143,688
1144,684
1145,696
1146,685
1147,698
1148,697
1149,699
1150,685
1151,696
1152,698
1153,698
1154,691
1155,687
1156,688
1157,693
1158,684
1159,692
1160,691
1161,695
1162,697
1163,691
1164,692
1165,696
1166,690
1167,693
1168,695
1169,700
1170,690
1171,695
1172,691
1173,693
1174,692
1175,693
1176,691
1177,694
1178,699
1179,690
1180,690
1181,689
1182,688
1183,697
1184,685
1185,689
1186,687
1187,690
1188,688
1189,692
1190,695
1191,694
1192,694
1193,694
1194,697
1195,695
1196,682
1197,690
1198,694
1199,694
1200,689
1201,689
1202,697
1203,697
1204,695
1205,694
1206,686
1207,688
1208,699
1209,692
1210,696
1211,693
1212,692
1213,684
1214,687
1215,691
1216,695
1217,695
1218,689
1219,692
1220,696
1221,686
1222,690
1223,690
1224,697
1225,689
1226,695
1227,689
1228,687
1229,682
1230,687
1231,687
1232,695
1233,691
1234,690
1235,687
1236,693
1237,689
1238,685
1239,690
1240,691
1241,686
1242,688
1243,681
1244,697
1245,692
1246,699
1247,699
1248,688
1249,693
1250,688
1251,690
1252,686
1253,699
1254,699
1255,697
1256,693
1257,686
1258,684
1259,693
1260,686
1261,699
1262,688
1263,685
1264,685
1265,695
1266,690
1267,695
1268,688
1269,686
1270,701
1271,695
1272,695
1273,694
1274,685
1275,687
1276,692
1277,699
1278,688
1279,693
1280,687
1281,688
1282,690
1283,692
1284,689
1285,694
1286,695
1287,688
1288,697
1289,693
1290,693
1291,692
1292,684
1293,690
1294,687
1295,695
1296,695
1297,690
1298,696
1299,694
1300,688
1301,692
1302,691
1303,696
1304,690
1305,689
1306,696
1307,696
1308,687
1309,685
1310,692
1311,685
1312,692
1313,687
1314,686
1315,696
1316,686
1317,684
1318,691
1319,686
1320,688
1321,688
1322,689
1323,692
1324,688
1325,702
1326,688
1327,689
1328,690
1329,691
1330,686
1331,686
1332,688
1333,686
1334,690
1335,691
1336,683
1337,688
1338,695
1339,689
1340,688
1341,696
1342,690
1343,689
1344,694
1345,686
1346,694
1347,701
1348,690
1349,693
1350,690
1351,685
1352,691
1353,695
1354,689
1355,686
1356,689
1357,691
1358,700
1359,700
1360,687
1361,689
1362,688
1363,698
1364,689
1365,684
1366,687
1367,691
1368,694
1369,691
1370,683
1371,686
1372,685
1373,694
1374,692
1375,693
1376,692
1377,695
1378,690
1379,685
1380,691
1381,690
1382,688
1383,690
1384,695
1385,695
1386,686
1387,693
1388,686
1389,690
1390,691
1391,690
1392,690
1393,689
1394,689
1395,690
1396,685
1397,690
1398,693
1399,691
1400,690
1401,690
1402,687
1403,696
1404,690
1405,688
1406,690
1407,685
1408,691
1409,692
1410,685
1411,688
1412,688
1413,691
1414,684
1415,692
1416,687
1417,692
1418,687
1419,692
1420,694
1421,690
1422,689
1423,695
1424,689
1425,684
1426,689
1427,689
1428,688
1429,688
1430,681
1431,690
1432,686
1433,690
1434,686
1435,691
1436,689
1437,688
1438,686
1439,687
1440,696
1441,682
1442,685
1443,682
1444,684
1445,690
1446,689
1447,683
1448,691
1449,686
1450,684
1451,693
1452,690
1453,692
1454,684
1455,687
1456,688
1457,686
1458,694
1459,689
1460,687
1461,690
1462,686
1463,688
1464,686
1465,682
1466,694
1467,686
1468,687
1469,689
1470,688
1471,689
1472,686
1473,689
1474,693
1475,688
1476,694
1477,685
1478,686
1479,684
1480,693
1481,690
1482,685
1483,691
1484,697
1485,684
1486,691
1487,689
1488,699
1489,686
1490,689
1491,689
1492,683
1493,692
1494,680
1495,691
1496,691
1497,688
1498,696
1499,689
1500,693
1501,693
1502,690
1503,695
1504,681
1505,690
1506,692
1507,689
1508,681
1509,692
1510,693
1511,690
1512,686
1513,679
1514,687
1515,680
1516,692
1517,690
1518,691
1519,694
1520,688
1521,682
1522,697
1523,691
1524,689
1525,688
1526,690
1527,689
1528,687
1529,694
1530,683
1531,686
1532,690
1533,685
1534,687
1535,680
1536,686
1537,687
1538,686
1539,688
1540,692
1541,691
1542,693
1543,687
1544,680
1545,691
1546,686
1547,687
1548,692
1549,693
1550,693
1551,687
1552,690
1553,681
1554,691
1555,694
1556,686
1557,683
1558,692
1559,694
1560,691
1561,689
1562,690
1563,692
1564,690
1565,687
1566,692
1567,686
1568,683
1569,688
1570,681
1571,695
1572,688
1573,679
1574,690
1575,692
1576,686
1577,690
1578,688
1579,685
1580,686
1581,692
1582,686
1583,685
1584,689
1585,692
1586,684
1587,688
1588,691
1589,688
1590,687
1591,689
1592,685
1593,682
1594,693
1595,693
1596,691
1597,686
1598,683
1599,689
1600,697
1601,686
1602,688
1603,682
1604,685
1605,687
1606,686
1607,688
1608,691
1609,691
1610,687
1611,693
1612,686
1613,686
1614,688
1615,680
1616,690
1617,686
1618,691
1619,682
1620,688
1621,684
1622,690
1623,691
1624,688
1625,683
1626,683
1627,690
1628,692
1629,692
1630,691
1631,691
1632,686
1633,693
1634,682
1635,689
1636,688
1637,688
1638,687
1639,683
1640,694
1641,685
1642,686
1643,688
1644,683
1645,692
1646,689
1647,687
1648,678
1649,695
1650,693
1651,685
1652,684
1653,692
1654,686
1655,694
1656,681
1657,689
1658,692
1659,687
1660,686
1661,683
1662,682
1663,689
1664,685
1665,686
1666,687
1667,685
1668,685
1669,694
1670,692
1671,685
1672,687
1673,690
1674,689
1675,687
1676,678
1677,683
1678,686
1679,674
1680,685
1681,690
1682,692
1683,694
1684,693
1685,686
1686,684
1687,688
1688,697
1689,688
1690,684
1691,687
1692,677
1693,689
1694,683
1695,688
1696,683
1697,682
1698,685
1699,692
1700,696
1701,689
1702,690
1703,684
1704,693
1705,693
1706,685
1707,687
1708,681
1709,687
1710,687
1711,687
1712,684
1713,690
1714,685
1715,690
1716,692
1717,688
1718,686
1719,691
1720,685
1721,688
1722,690
1723,685
1724,689
1725,691
1726,676
1727,685
1728,687
1729,682
1730,690
1731,683
1732,682
1733,685
1734,684
1735,682
1736,689
1737,693
1738,684
1739,688
1740,679
1741,691
1742,682
1743,690
1744,684
1745,684
1746,688
1747,691
1748,677
1749,690
1750,682
1751,692
1752,687
1753,683
1754,690
1755,685
1756,680
1757,687
1758,685
1759,685
1760,682
1761,686
1762,680
1763,695
1764,676
1765,684
1766,687
1767,679
1768,687
1769,680
1770,683
1771,692
1772,693
1773,685
1774,684
1775,688
1776,685
1777,684
1778,678
1779,676
1780,679
1781,687
1782,687
1783,683
1784,689
1785,681
1786,688
1787,688
1788,681
1789,686
1790,683
1791,681
1792,680
1793,688
1794,681
1795,690
1796,686
1797,679
1798,688
1799,679
1800,682
1801,688
1802,685
1803,686
1804,681
1805,683
1806,689
1807,686
1808,688
1809,686
1810,684
1811,687
1812,688
1813,679
1814,687
1815,688
1816,692
1817,677
1818,690
1819,676
1820,682
1821,689
1822,696
1823,694
1824,685
1825,684
1826,688
1827,689
1828,682
1829,683
1830,689
1831,688
1832,683
1833,687
1834,689
1835,693
1836,685
1837,683
1838,686
1839,682
1840,685
1841,691
1842,690
1843,688
1844,678
1845,684
1846,689
1847,679
1848,684
1849,684
1850,685
1851,686
1852,688
1853,686
1854,679
1855,683
1856,689
1857,679
1858,684
1859,692
1860,686
1861,680
1862,680
1863,684
1864,687
1865,682
1866,697
1867,682
1868,686
1869,690
1870,681
1871,685
1872,683
