Stamp,GSR
4401,763
4402,763
4403,769
4404,764
4405,767
4406,765
4407,763
4408,765
4409,768
4410,761
4411,764
4412,772
4413,761
4414,769
4415,767
4416,762
4417,758
4418,771
4419,767
4420,768
4421,769
4422,761
4423,765
4424,767
4425,765
4426,765
4427,759
4428,763
4429,769
4430,763
4431,766
4432,763
4433,765
4434,769
4435,763
4436,763
4437,767
4438,769
4439,765
4440,764
4441,764
4442,769
4443,761
4444,755
4445,765
4446,762
4447,772
4448,760
4449,763
4450,761
4451,760
4452,774
4453,773
4454,762
4455,765
4456,770
4457,763
4458,766
4459,759
4460,762
4461,758
4462,760
4463,766
4464,767
4465,765
4466,768
4467,761
4468,762
4469,765
4470,768
4471,760
4472,769
4473,763
4474,769
4475,772
4476,767
4477,761
4478,766
4479,759
4480,768
4481,757
4482,764
4483,763
4484,762
4485,765
4486,762
4487,771
4488,770
4489,766
4490,765
4491,762
4492,762
4493,771
4494,761
4495,771
4496,764
4497,760
4498,762
4499,770
4500,765
4501,768
4502,763
4503,768
4504,766
4505,769
4506,767
4507,762
4508,773
4509,769
4510,773
4511,765
4512,763
4513,764
4514,763
4515,761
4516,764
4517,760
4518,762
4519,762
4520,766
4521,759
4522,769
4523,762
4524,761
4525,767
4526,760
4527,761
4528,764
4529,765
4530,764
4531,768
4532,762
4533,760
4534,761
4535,765
4536,770
4537,760
4538,762
4539,757
4540,760
4541,759
4542,772
4543,762
4544,767
4545,765
4546,761
4547,760
4548,766
4549,764
4550,755
4551,767
4552,769
4553,764
4554,762
4555,763
4556,763
4557,762
4558,770
4559,758
4560,764
4561,768
4562,764
4563,769
4564,763
4565,761
4566,765
4567,772
4568,767
4569,763
4570,763
4571,757
4572,761
4573,762
4574,761
4575,762
4576,770
4577,751
4578,767
4579,761
4580,763
4581,770
4582,766
4583,765
4584,767
4585,764
4586,768
4587,762
4588,763
4589,770
4590,759
4591,765
4592,769
4593,764
4594,769
4595,760
4596,761
4597,770
4598,768
4599,771
4600,762
4601,765
4602,758
4603,764
4604,763
4605,759
4606,758
4607,760
4608,761
4609,763
4610,766
4611,767
4612,761
4613,772
4614,763
4615,760
4616,765
4617,765
4618,764
4619,761
4620,773
4621,764
4622,762
4623,773
4624,763
4625,768
4626,762
4627,765
4628,764
4629,764
4630,766
4631,760
4632,769
4633,762
4634,764
4635,759
4636,766
4637,769
4638,761
4639,761
4640,766
4641,767
4642,760
4643,758
4644,766
4645,769
4646,766
4647,760
4648,758
4649,765
4650,759
4651,769
4652,764
4653,762
4654,761
4655,762
4656,766
4657,762
4658,768
4659,762
4660,771
4661,762
4662,764
4663,767
4664,759
4665,759
4666,761
4667,768
4668,765
4669,763
4670,767
4671,761
4672,768
4673,764
4674,762
4675,749
4676,762
4677,759
4678,766
4679,765
4680,769
4681,760
4682,767
4683,769
4684,766
4685,765
4686,760
4687,764
4688,766
4689,766
4690,765
4691,755
4692,762
4693,771
4694,764
4695,762
4696,761
4697,765
4698,768
4699,759
4700,766
4701,773
4702,762
4703,767
4704,767
4705,757
4706,758
4707,765
