,0
0,831
1,836
2,837
3,834
4,834
5,836
6,839
7,835
8,833
9,835
10,836
11,832
12,831
13,836
14,839
15,832
16,833
17,837
18,836
19,834
20,832
21,837
22,839
23,833
24,832
25,837
26,836
27,834
28,832
29,835
30,838
31,832
32,833
33,836
34,838
35,832
36,833
37,837
38,838
39,832
40,832
41,836
42,840
43,832
44,831
45,836
46,838
47,832
48,833
49,839
50,838
51,832
52,832
53,836
54,836
55,833
56,832
57,837
58,835
59,832
60,832
61,837
62,838
63,834
64,832
65,835
66,838
67,831
68,830
69,833
70,838
71,831
72,832
73,838
74,836
75,835
76,832
77,836
78,836
79,834
80,831
81,835
82,835
83,833
84,829
85,835
86,838
87,832
88,832
89,839
90,837
91,834
92,832
93,837
94,836
95,833
96,832
97,836
98,838
99,832
100,831
101,836
102,835
103,834
104,831
105,836
106,836
107,831
108,831
109,838
110,835
111,832
112,832
113,834
114,838
115,833
116,832
117,835
118,837
119,833
120,831
121,836
122,835
123,834
124,830
125,835
126,837
127,834
128,832
129,837
130,837
131,831
132,833
133,836
134,836
135,833
136,833
137,836
138,838
139,833
140,831
141,837
142,835
143,833
144,831
145,836
146,837
147,833
148,832
149,836
150,838
151,832
152,832
153,836
154,837
155,832
156,831
157,834
158,836
159,832
160,832
161,835
162,837
163,832
164,831
165,836
166,837
167,834
168,830
169,836
170,837
171,832
172,830
173,836
174,835
175,831
176,832
177,835
178,834
179,833
180,830
181,835
182,836
183,833
184,831
185,837
186,836
187,832
188,830
189,835
190,836
191,836
192,833
193,837
194,835
195,832
196,830
197,835
198,835
199,832
200,834
201,834
202,835
203,831
204,831
205,836
206,836
207,832
208,832
209,834
210,838
211,834
212,832
213,836
214,835
215,831
216,831
217,836
218,834
219,831
220,831
221,835
222,836
223,832
224,833
225,836
226,835
227,833
228,830
229,836
230,837
231,833
232,829
233,835
234,835
235,833
236,830
237,834
238,837
239,834
240,833
241,836
242,836
243,832
244,832
245,836
246,836
247,834
248,831
249,835
250,837
251,833
252,830
253,834
254,837
255,833
256,831
257,835
258,834
259,833
260,832
261,835
262,834
263,832
264,832
265,835
266,836
267,834
268,831
269,836
270,837
271,832
272,834
273,837
274,837
275,833
276,830
277,834
278,838
279,833
280,832
281,833
282,835
283,832
284,833
285,834
286,834
287,832
288,828
289,834
290,837
291,831
292,830
293,836
294,837
295,835
296,832
297,835
298,837
299,834
300,831
301,835
302,836
303,832
304,830
305,835
306,835
307,832
308,830
309,834
310,836
311,833
312,830
313,833
314,835
315,832
316,832
317,833
318,837
319,833
320,829
321,832
322,836
323,834
324,831
325,836
326,836
327,834
328,830
329,835
330,835
331,833
332,828
333,833
334,837
335,832
336,832
337,835
338,836
339,832
340,830
341,834
342,835
343,832
344,831
345,834
346,833
347,831
348,830
349,834
350,836
351,833
352,831
353,832
354,835
355,830
356,830
357,833
358,836
359,830
360,830
361,837
362,836
363,836
364,830
365,834
366,837
367,831
368,832
369,836
370,835
371,833
372,831
373,832
374,836
375,832
376,831
377,833
378,834
379,832
380,829
381,833
382,837
383,833
384,829
385,835
386,834
387,833
388,831
389,834
390,836
391,834
392,830
393,833
394,836
395,833
396,830
397,833
398,836
399,832
400,829
401,835
402,838
403,832
404,832
405,835
406,837
407,832
408,831
409,833
410,837
411,833
412,830
413,833
414,835
415,832
416,830
417,837
418,836
419,830
420,830
421,834
422,836
423,833
424,830
425,833
426,836
427,832
428,831
429,833
430,833
431,832
432,830
433,834
434,837
435,832
436,827
437,833
438,835
439,834
440,831
441,831
442,834
443,831
444,830
445,833
446,836
447,833
448,829
449,833
450,836
451,834
452,829
453,834
454,836
455,831
456,829
457,832
458,836
459,835
460,829
461,832
462,835
463,832
464,830
465,832
466,837
467,833
468,828
469,833
470,837
471,831
472,830
473,833
474,835
475,833
476,831
477,835
478,836
479,831
480,831
481,834
482,837
483,833
484,829
485,833
486,836
487,832
488,828
489,833
490,837
491,833
492,830
493,833
494,837
495,832
496,830
497,832
498,836
499,831
500,831
501,834
502,837
503,833
504,831
505,833
506,836
507,832
508,826
509,830
510,837
511,832
512,828
513,832
514,836
515,832
516,829
517,834
518,835
519,832
520,827
521,832
522,837
523,831
524,830
525,834
526,836
527,834
528,829
529,832
530,837
531,833
532,829
533,832
534,835
535,835
536,832
537,833
538,835
539,833
540,829
541,835
542,837
543,833
544,830
545,832
546,836
547,830
548,829
549,835
550,836
551,833
552,831
553,830
554,835
555,831
556,829
557,834
558,834
559,834
560,829
561,833
562,834
563,832
564,829
565,832
566,833
567,831
568,830
569,832
570,836
571,832
572,830
573,833
574,836
575,830
576,830
577,833
578,836
579,833
580,833
581,831
582,835
583,834
584,829
585,832
586,836
587,832
588,829
589,831
590,838
591,831
592,829
593,832
594,836
595,831
596,829
597,833
598,836
599,833
600,828
601,832
602,836
603,833
604,828
605,833
606,836
607,833
608,830
609,831
610,837
611,832
612,827
613,832
614,836
615,831
616,831
617,831
618,834
619,832
620,830
621,829
622,835
623,834
624,829
625,831
626,836
627,834
628,829
629,833
630,836
631,832
632,827
633,831
634,836
635,833
636,828
637,834
638,837
639,832
640,830
641,832
642,837
643,832
644,827
645,833
646,835
647,831
648,829
649,831
650,837
651,834
652,830
653,831
654,835
655,832
656,828
657,833
658,835
659,832
660,829
661,833
662,836
663,833
664,827
665,833
666,837
667,832
668,830
669,830
670,836
671,832
672,830
673,832
674,836
675,832
676,830
677,830
678,836
679,832
680,828
681,832
682,836
683,829
684,828
685,828
686,835
687,833
688,830
689,833
690,833
691,832
692,832
693,831
694,835
695,833
696,829
697,831
698,837
699,831
700,829
701,832
702,835
703,834
704,828
705,830
706,836
707,833
708,829
709,832
710,833
711,831
712,829
713,830
714,836
715,833
716,830
717,830
718,836
719,833
720,829
721,831
722,835
723,832
724,829
725,831
726,833
727,833
728,830
729,832
730,834
731,832
732,828
733,831
734,835
735,832
736,829
737,832
738,835
739,833
740,829
741,830
742,835
743,832
744,830
745,830
746,835
747,833
748,830
749,832
750,836
751,831
752,830
753,830
754,835
755,833
756,829
757,829
758,837
759,832
760,829
761,830
762,835
763,831
764,831
765,830
766,836
767,832
768,829
769,831
770,837
771,832
772,830
773,830
774,836
775,832
776,829
777,830
778,834
779,831
780,829
781,831
782,835
783,832
784,831
785,830
786,835
787,833
788,827
789,832
790,836
791,833
792,829
793,831
794,834
795,834
796,828
797,830
798,835
799,834
800,831
801,831
802,837
803,832
804,831
805,831
806,837
807,832
808,829
809,829
810,838
811,834
812,827
813,830
814,835
815,833
816,828
817,831
818,836
819,833
820,829
821,828
822,839
823,834
824,832
825,830
826,835
827,833
828,828
829,833
830,836
831,832
832,831
833,831
834,836
835,833
836,829
837,831
838,834
839,835
840,829
841,832
842,836
843,834
844,830
845,832
846,834
847,832
848,829
849,831
850,835
851,832
852,827
853,830
854,837
855,833
856,830
857,831
858,834
859,832
860,830
861,831
862,837
863,832
864,832
865,832
866,835
867,833
868,830
869,831
870,836
871,831
872,829
873,830
874,836
875,834
876,828
877,829
878,835
879,831
880,831
881,830
882,837
883,834
884,829
885,829
886,835
887,835
888,830
889,829
890,835
891,832
892,828
893,831
894,835
895,833
896,830
897,830
898,838
899,834
900,830
901,830
902,836
903,833
904,830
905,829
906,836
907,834
908,831
909,829
910,834
911,831
912,830
913,829
914,835
915,834
916,829
917,832
918,837
919,831
920,830
921,828
922,834
923,833
924,829
925,830
926,836
927,833
928,827
929,831
930,836
931,833
932,829
933,831
934,835
935,831
936,829
937,831
938,836
939,836
940,830
941,829
942,836
943,833
944,828
945,829
946,838
947,832
948,832
949,831
950,837
951,833
952,832
953,828
954,836
955,832
956,831
957,830
958,837
959,833
960,829
961,830
962,835
963,832
964,829
965,829
966,833
967,833
968,831
969,830
970,836
971,834
972,831
973,829
974,836
975,834
976,830
977,829
978,835
979,832
980,830
981,829
982,834
983,834
984,829
985,829
986,836
987,833
988,828
989,828
990,837
