,0
0,802
1,804
2,808
3,806
4,804
5,806
6,807
7,805
8,804
9,806
10,808
11,803
12,804
13,804
14,808
15,806
16,803
17,806
18,807
19,804
20,802
21,805
22,808
23,804
24,803
25,805
26,806
27,803
28,802
29,803
30,809
31,806
32,802
33,805
34,808
35,808
36,799
37,805
38,807
39,804
40,801
41,805
42,808
43,805
44,802
45,805
46,807
47,804
48,803
49,804
50,808
51,803
52,804
53,804
54,807
55,805
56,801
57,805
58,808
59,803
60,802
61,805
62,808
63,804
64,803
65,804
66,809
67,804
68,801
69,806
70,809
71,804
72,801
73,804
74,807
75,805
76,800
77,804
78,807
79,806
80,801
81,802
82,809
83,805
84,802
85,803
86,805
87,804
88,802
89,804
90,808
91,804
92,799
93,803
94,808
95,804
96,802
97,803
98,807
99,802
100,802
101,805
102,806
103,803
104,800
105,803
106,807
107,803
108,802
109,804
110,806
111,804
112,801
113,805
114,807
115,805
116,801
117,804
118,809
119,804
120,801
121,805
122,804
123,803
124,802
125,806
126,805
127,805
128,801
129,804
130,807
131,802
132,802
133,804
134,805
135,803
136,801
137,805
138,806
139,803
140,800
141,806
142,807
143,803
144,801
145,803
146,805
147,804
148,803
149,804
150,807
151,805
152,801
153,805
154,808
155,803
156,801
157,804
158,807
159,804
160,800
161,804
162,808
163,802
164,800
165,803
166,806
167,804
168,799
169,804
170,807
171,804
172,801
173,804
174,806
175,806
176,802
177,804
178,806
179,805
180,803
181,805
182,807
183,803
184,802
185,802
186,807
187,805
188,803
189,804
190,806
191,802
192,802
193,805
194,808
195,804
196,801
197,804
198,809
199,805
200,802
201,804
202,806
203,802
204,801
205,804
206,806
207,806
208,801
209,804
210,807
211,803
212,801
213,805
214,806
215,803
216,800
217,804
218,806
219,805
220,802
221,805
222,806
223,804
224,800
225,804
226,808
227,804
228,801
229,803
230,806
231,802
232,800
233,803
234,807
235,803
236,801
237,803
238,806
239,805
240,800
241,804
242,808
243,804
244,799
245,806
246,807
247,803
248,800
249,806
250,807
251,804
252,801
253,804
254,805
255,803
256,800
257,807
258,806
259,802
260,798
261,805
262,807
263,803
264,801
265,804
266,805
267,805
268,802
269,805
270,806
271,804
272,802
273,805
274,807
275,805
276,800
277,803
278,805
279,802
280,801
281,804
282,808
283,805
284,802
285,806
286,808
287,803
288,801
289,806
290,805
291,806
292,801
293,803
294,807
295,804
296,801
297,805
298,805
299,802
300,802
301,804
302,806
303,805
304,801
305,805
306,806
307,804
308,800
309,805
310,805
311,805
312,800
313,804
314,806
315,803
316,802
317,805
318,808
319,805
320,802
321,805
322,806
323,803
324,802
325,802
326,806
327,803
328,801
329,805
330,806
331,804
332,802
333,805
334,807
335,803
336,801
337,803
338,804
339,804
340,801
341,805
342,808
343,805
344,801
345,804
346,806
347,802
348,799
349,802
350,805
351,803
352,803
353,805
354,806
355,803
356,800
357,806
358,805
359,803
360,802
361,805
362,808
363,803
364,802
365,804
366,806
367,804
368,802
369,804
370,806
371,805
372,802
373,803
374,806
375,804
376,803
377,804
378,805
379,806
380,801
381,806
382,807
383,803
384,800
385,804
386,806
387,804
388,800
389,803
390,806
391,804
392,802
393,805
394,804
395,804
396,801
397,803
398,806
399,803
400,801
401,803
402,807
403,804
404,802
405,803
406,805
407,804
408,801
409,803
410,806
411,804
412,798
413,804
414,807
415,802
416,801
417,803
418,806
419,802
420,800
421,805
422,807
423,804
424,801
425,804
426,806
427,802
428,799
429,803
430,805
431,802
432,799
433,803
434,805
435,803
436,801
437,804
438,806
439,802
440,800
441,803
442,806
443,804
444,800
445,804
446,805
447,801
448,801
449,802
450,805
451,803
452,801
453,804
454,805
455,803
456,800
457,803
458,806
459,801
460,798
461,804
462,806
463,803
464,800
465,803
466,805
467,803
468,799
469,803
470,806
471,803
472,799
473,803
474,805
475,803
476,800
477,803
478,806
479,804
480,799
481,804
482,805
483,804
484,800
485,804
486,802
487,803
488,799
489,804
490,805
491,803
492,801
493,804
494,804
495,803
496,800
497,804
498,804
499,804
500,800
501,802
502,806
503,802
504,803
505,802
506,805
507,801
508,799
509,804
510,805
511,803
512,800
513,804
514,805
515,802
516,797
517,802
518,805
519,802
520,799
521,803
522,804
523,800
524,800
525,802
526,802
527,802
528,799
529,801
530,805
531,802
532,800
533,803
534,806
535,801
536,802
537,803
538,805
539,803
540,800
541,803
542,805
543,802
544,801
545,803
546,804
547,800
548,797
549,803
550,805
551,802
552,800
553,804
554,803
555,802
556,800
557,803
558,805
559,802
560,802
561,803
562,806
563,802
564,799
565,803
566,803
567,802
568,800
569,801
570,805
571,802
572,799
573,801
574,804
575,803
576,800
577,803
578,806
579,801
580,799
581,804
582,804
583,803
584,800
585,803
586,803
587,801
588,799
589,803
590,804
591,802
592,799
593,803
594,805
595,801
596,800
597,803
598,803
599,799
600,798
601,801
602,804
603,801
604,799
605,803
606,805
607,801
608,800
609,802
610,806
611,801
612,798
613,801
614,802
615,803
616,800
617,803
618,805
619,802
620,800
621,800
622,805
623,801
624,798
625,802
626,803
627,801
628,798
629,805
630,804
631,801
632,800
633,803
634,804
635,802
636,798
637,801
638,803
639,800
640,799
641,802
642,803
643,801
644,798
645,803
646,805
647,801
648,797
649,802
650,806
651,802
652,799
653,803
654,803
655,801
656,798
657,802
658,803
659,799
660,798
661,802
662,804
663,800
664,798
665,801
666,805
667,801
668,798
669,801
670,804
671,802
672,799
673,801
674,803
675,802
676,797
677,802
678,804
679,801
680,796
681,801
682,803
683,801
684,800
685,801
686,804
687,801
688,797
689,802
690,803
691,801
692,798
693,802
694,802
695,800
696,798
697,801
698,804
699,801
700,798
701,802
702,804
703,800
704,799
705,802
706,803
707,801
708,800
709,802
710,800
711,801
712,798
713,804
714,805
715,800
716,800
717,801
718,804
719,800
720,800
721,800
722,803
723,800
724,797
725,801
726,803
727,803
728,799
729,801
730,803
731,801
732,798
733,801
734,804
735,800
736,797
737,800
738,804
739,801
740,799
741,802
742,804
743,800
744,797
745,801
746,801
747,799
748,797
749,802
750,804
751,799
752,797
753,800
754,804
755,801
756,799
757,800
758,803
759,800
760,798
761,803
762,802
763,801
764,799
765,800
766,803
767,801
768,798
769,800
770,803
771,799
772,797
773,800
774,803
775,799
776,798
777,800
778,802
779,802
780,801
781,800
782,804
783,799
784,799
785,802
786,800
787,799
788,797
789,802
790,802
791,800
792,796
793,801
794,802
795,800
796,797
797,801
798,803
799,800
800,798
801,799
802,803
803,798
804,795
805,799
806,802
807,800
808,798
809,800
810,801
811,799
812,797
813,800
814,803
815,801
816,798
817,801
818,806
819,800
820,798
821,799
822,802
823,800
824,798
825,800
826,803
827,800
828,796
829,800
830,802
831,801
832,796
833,799
834,802
835,800
836,798
837,799
838,801
839,800
840,798
841,800
842,799
843,800
844,797
845,801
846,801
847,800
848,799
849,801
850,803
851,800
852,798
853,801
854,802
855,800
856,799
857,799
858,803
859,802
860,799
861,799
862,803
863,800
864,799
865,798
866,802
867,801
868,796
869,800
870,802
871,799
872,798
873,802
874,801
875,800
876,797
877,801
878,800
879,802
880,799
881,800
882,802
883,799
884,797
885,799
886,803
887,802
888,800
889,803
890,804
891,800
892,796
893,801
894,802
895,800
896,795
897,799
898,802
899,802
900,797
901,801
902,803
903,801
904,797
905,801
906,804
907,798
908,795
909,801
910,803
911,801
912,798
913,800
914,802
915,800
916,799
917,799
918,803
919,800
920,797
921,802
922,805
923,800
924,796
925,802
926,802
927,801
928,798
929,800
930,802
931,800
932,798
933,799
934,803
935,800
936,797
937,799
938,799
939,802
940,796
941,800
942,802
943,801
944,797
945,799
946,804
947,800
948,798
949,800
950,803
951,799
952,794
953,798
954,805
955,800
956,799
957,800
958,800
959,799
960,798
961,798
962,804
963,801
964,796
965,800
966,805
967,798
968,797
969,800
970,803
971,800
972,795
973,799
974,801
975,800
976,797
977,800
978,803
979,801
980,799
981,802
982,803
983,800
984,797
985,801
986,804
987,799
988,797
989,801
990,801
991,801
992,797
993,799
994,803
995,801
996,799
997,799
998,803
999,800
1000,799
1001,800
1002,803
1003,800
1004,798
1005,800
1006,801
1007,799
1008,797
1009,800
1010,804
1011,800
1012,798
1013,802
1014,804
1015,801
1016,798
1017,800
1018,804
1019,801
1020,796
1021,798
1022,802
1023,801
1024,797
1025,799
1026,803
1027,799
1028,797
1029,801
1030,804
1031,800
1032,798
1033,801
1034,801
1035,799
1036,797
1037,799
1038,802
1039,800
1040,798
1041,800
1042,803
1043,800
1044,796
1045,799
1046,802
1047,800
1048,798
1049,800
1050,804
1051,801
1052,799
1053,798
1054,803
1055,798
1056,797
1057,799
1058,802
1059,800
1060,797
1061,801
1062,802
1063,800
1064,798
1065,798
1066,803
1067,801
1068,796
1069,800
1070,804
1071,800
1072,797
1073,800
1074,802
1075,800
1076,798
1077,803
1078,801
1079,799
1080,798
1081,800
1082,804
1083,801
1084,799
1085,799
1086,803
1087,802
1088,798
1089,799
1090,802
1091,801
1092,798
1093,799
1094,803
1095,800
1096,796
1097,798
1098,802
1099,798
1100,796
1101,800
1102,802
1103,799
1104,797
1105,800
1106,799
1107,798
1108,797
1109,800
1110,804
1111,799
1112,795
1113,798
1114,803
1115,800
1116,797
1117,798
1118,803
1119,800
1120,796
1121,799
1122,802
1123,800
1124,795
1125,800
1126,804
1127,800
1128,797
1129,801
1130,803
1131,800
1132,795
1133,797
1134,803
1135,800
1136,796
1137,798
1138,801
1139,800
1140,798
1141,800
1142,802
1143,799
1144,797
1145,796
1146,803
1147,800
1148,797
1149,798
1150,801
1151,801
1152,797
1153,798
1154,801
1155,801
1156,796
1157,799
1158,801
1159,802
1160,797
1161,798
1162,801
1163,798
1164,798
1165,799
1166,803
1167,799
1168,797
1169,798
1170,803
1171,800
1172,795
1173,797
1174,801
1175,801
1176,796
1177,798
1178,803
1179,800
1180,797
1181,797
1182,801
1183,799
1184,795
1185,798
1186,800
1187,801
1188,796
1189,797
1190,802
1191,801
1192,795
1193,798
1194,803
1195,799
1196,796
1197,797
1198,801
1199,799
1200,798
1201,800
1202,803
1203,799
1204,797
1205,796
1206,801
1207,798
1208,795
1209,797
1210,803
1211,799
1212,795
1213,797
1214,802
1215,801
1216,796
1217,796
1218,803
1219,801
1220,796
1221,800
1222,801
1223,798
1224,796
1225,798
1226,801
1227,800
1228,796
1229,797
1230,801
1231,799
1232,796
1233,797
1234,803
1235,802
1236,796
1237,798
1238,802
1239,800
1240,795
1241,797
1242,802
1243,799
1244,796
1245,794
1246,802
1247,799
1248,794
1249,797
1250,800
1251,800
1252,795
1253,796
1254,803
1255,800
1256,795
1257,797
1258,803
1259,798
1260,795
1261,797
1262,803
1263,800
1264,799
1265,799
1266,801
1267,798
1268,796
1269,797
1270,801
1271,799
1272,796
1273,796
1274,802
1275,799
1276,796
1277,798
1278,803
1279,799
1280,798
1281,794
1282,801
1283,801
1284,796
1285,799
1286,801
1287,802
1288,795
1289,799
1290,802
1291,800
1292,795
1293,796
1294,802
1295,797
1296,795
1297,797
1298,801
1299,797
1300,796
1301,796
1302,801
1303,799
1304,795
1305,798
1306,801
1307,799
1308,798
1309,797
1310,801
1311,800
1312,798
1313,794
1314,802
1315,800
1316,796
1317,797
1318,801
1319,798
1320,796
1321,797
1322,800
1323,798
1324,796
1325,797
1326,801
1327,797
1328,795
1329,797
1330,801
1331,798
1332,796
1333,796
1334,804
1335,800
1336,796
1337,795
1338,802
1339,799
1340,797
1341,795
1342,801
1343,796
1344,796
1345,797
1346,801
1347,798
1348,797
1349,797
1350,803
1351,797
1352,795
1353,795
1354,801
1355,795
1356,796
1357,798
1358,801
1359,798
1360,796
1361,795
1362,800
1363,797
1364,793
1365,793
1366,801
1367,798
1368,797
1369,797
1370,801
1371,798
1372,794
1373,795
1374,799
1375,798
1376,794
1377,796
1378,801
1379,800
1380,796
1381,797
1382,800
