,0
0,711
1,716
2,715
3,718
4,714
5,713
6,717
7,718
8,717
9,718
10,719
11,714
12,712
13,723
14,718
15,709
16,713
17,719
18,714
19,712
20,711
21,718
22,720
23,716
24,713
25,716
26,714
27,721
28,713
29,716
30,721
31,710
32,714
33,716
34,716
35,704
36,716
37,719
38,717
39,712
40,713
41,719
42,715
43,712
44,715
45,722
46,721
47,711
48,717
49,719
50,713
51,713
52,710
53,716
54,717
55,720
56,710
57,709
58,720
59,716
60,714
61,719
62,708
63,710
64,714
65,718
66,715
67,712
68,717
69,718
70,717
71,712
72,707
73,718
74,719
75,718
76,707
77,716
78,716
79,715
80,707
81,720
82,714
83,718
84,710
85,719
86,714
87,713
88,711
89,716
90,720
91,712
92,709
93,718
94,717
95,713
96,719
97,715
98,718
99,718
100,709
101,716
102,713
103,711
104,707
105,717
106,713
107,713
108,709
109,717
110,712
111,711
112,716
113,718
114,717
115,714
116,707
117,720
118,717
119,717
120,711
121,716
122,710
123,711
124,713
125,713
126,716
127,710
128,710
129,708
130,713
131,711
132,707
133,713
134,715
135,715
136,706
137,718
138,715
139,709
140,713
141,719
142,712
143,713
144,711
145,723
146,711
147,711
148,716
149,719
150,714
151,709
152,709
153,720
154,713
155,712
156,710
157,715
158,715
159,710
160,716
161,715
162,711
163,709
164,712
165,715
166,712
167,716
168,713
169,715
170,721
171,714
172,712
173,713
174,720
175,716
176,709
177,716
178,711
179,712
180,709
181,715
182,715
183,716
184,710
185,717
186,713
187,715
188,707
189,713
190,718
191,709
192,715
193,716
194,718
195,710
196,712
197,716
198,713
199,710
200,709
201,718
202,715
203,711
204,710
205,712
206,714
207,714
208,718
209,717
210,714
211,711
212,713
213,720
214,715
215,710
216,710
217,719
218,710
219,712
220,714
221,714
222,716
223,712
224,717
225,718
226,712
227,711
228,714
229,715
230,718
231,707
232,713
233,719
234,714
235,709
236,718
237,716
238,712
239,711
240,714
241,716
242,716
243,712
244,705
245,713
246,716
247,713
248,713
249,716
250,710
251,709
252,712
253,711
254,713
255,713
256,714
257,718
258,712
259,713
260,708
261,717
262,716
263,714
264,707
265,713
266,717
267,709
268,704
269,713
270,714
271,716
272,712
273,720
274,716
275,714
276,712
277,714
278,711
279,715
280,715
281,713
282,712
283,712
284,710
285,721
286,715
287,712
288,712
289,721
290,715
291,713
292,710
293,719
294,717
295,710
296,709
297,717
298,713
299,709
300,709
301,719
302,710
303,711
304,711
305,717
306,713
307,709
308,710
309,715
310,714
311,713
312,710
313,719
314,711
315,711
316,714
317,716
318,714
319,710
320,715
321,711
322,714
323,717
324,715
325,712
326,709
327,714
328,714
329,719
330,715
331,715
332,707
333,716
334,716
335,713
336,707
337,715
338,717
339,714
340,707
341,719
342,717
343,712
344,714
345,712
346,720
347,707
348,715
349,716
350,718
351,714
352,706
353,714
354,714
355,716
356,710
357,712
358,713
359,712
360,704
361,717
362,716
363,713
364,709
365,714
366,717
367,710
368,706
369,717
370,716
371,710
372,707
373,717
374,709
375,713
376,710
377,712
378,714
379,712
380,715
381,715
382,716
383,714
384,709
385,715
386,721
387,712
388,713
389,721
390,713
391,708
392,709
393,718
394,714
395,710
396,711
397,712
398,710
399,707
400,708
401,712
402,716
403,709
404,709
405,711
406,720
407,706
408,712
409,714
410,710
411,713
412,711
413,716
414,720
415,713
416,710
417,718
418,715
419,710
420,711
421,712
422,714
423,714
424,711
425,718
426,715
427,716
428,715
429,717
430,713
431,713
432,710
433,710
434,713
435,708
436,706
437,714
438,713
439,713
440,715
441,720
442,720
443,713
444,713
445,706
446,713
447,712
448,715
449,710
450,710
451,716
452,709
453,719
454,713
455,705
456,713
457,714
458,716
459,711
460,710
461,713
462,715
463,711
464,717
465,715
466,714
467,714
468,708
469,714
470,714
471,708
472,712
473,708
474,715
475,714
476,714
477,716
478,711
479,711
480,712
481,718
482,711
483,709
484,708
485,712
486,717
487,713
488,712
489,717
490,711
491,709
492,712
493,718
494,716
495,712
496,707
497,714
498,715
499,711
500,710
501,708
502,709
503,709
504,713
505,715
506,713
507,706
508,710
509,714
510,715
511,712
512,714
513,715
514,712
515,712
516,714
517,717
518,717
519,711
520,709
521,711
522,715
523,714
524,707
525,713
526,712
527,712
528,706
529,715
530,717
531,707
532,710
533,710
534,711
535,712
536,713
537,717
538,709
539,708
540,715
541,712
542,713
543,710
544,713
545,714
546,711
547,715
548,712
549,717
550,714
551,709
552,712
553,717
554,716
555,715
556,708
557,716
558,706
559,711
560,714
561,717
562,711
563,712
564,710
565,716
566,716
567,712
568,715
569,716
570,711
571,712
572,709
573,713
574,720
575,708
576,709
577,712
578,709
579,713
580,711
581,716
582,708
583,717
584,709
585,715
586,714
587,714
588,707
589,713
590,714
591,712
592,713
593,714
594,719
595,713
596,713
597,717
598,709
599,712
600,708
601,715
602,712
603,716
604,706
605,716
606,717
607,712
608,717
609,714
610,717
611,709
612,713
613,714
614,715
615,711
616,712
617,714
618,715
619,717
620,707
621,711
622,717
623,710
624,711
625,721
626,712
627,715
628,715
629,720
630,720
631,711
632,712
633,712
634,713
635,715
636,707
637,720
638,712
639,715
640,710
641,713
642,718
643,716
644,715
645,716
646,710
647,714
648,718
649,722
650,713
651,704
652,716
653,716
654,712
655,706
656,716
657,717
658,714
659,707
660,716
661,718
662,712
663,712
664,709
665,713
666,710
667,710
668,716
669,714
670,718
671,715
672,712
673,719
674,712
675,716
676,706
677,718
678,715
679,714
680,710
681,711
682,713
683,708
684,717
685,722
686,715
687,717
688,718
689,716
690,717
691,710
692,715
693,711
694,710
695,709
696,709
697,715
698,715
699,717
700,710
701,716
702,716
703,711
704,708
705,721
706,714
707,710
708,710
709,718
710,713
711,710
712,713
713,719
714,710
715,711
716,714
717,719
718,716
719,715
720,711
721,717
722,715
723,708
724,709
725,712
726,717
727,713
728,711
729,715
730,710
731,711
732,709
733,717
734,714
735,717
736,711
737,716
738,712
739,715
740,707
741,718
742,717
743,712
744,716
745,721
746,716
747,709
748,711
749,711
750,712
751,713
752,711
753,716
754,717
755,713
756,711
757,711
758,718
759,709
760,708
761,718
762,713
763,711
764,709
765,713
766,718
767,704
768,712
769,711
770,711
771,710
772,715
773,717
774,711
775,717
776,714
777,710
778,710
779,712
780,713
781,714
782,714
783,711
784,715
785,714
786,712
787,718
788,710
789,719
790,716
791,716
792,707
793,718
794,719
795,709
796,709
797,716
798,716
799,711
800,714
801,712
802,715
803,709
804,713
805,720
806,715
807,712
808,712
809,716
810,710
811,712
812,711
813,712
814,715
815,711
816,710
817,711
818,717
819,710
820,715
821,716
822,714
823,707
824,706
825,715
826,714
827,713
828,714
829,716
830,711
831,709
832,711
833,712
834,714
835,715
836,716
837,710
838,718
839,712
840,712
841,714
842,714
843,707
844,707
845,716
846,714
847,711
848,716
849,712
850,711
851,716
852,714
853,721
854,717
855,708
856,712
857,714
858,714
859,707
860,713
861,715
862,714
863,714
864,714
865,716
866,714
867,713
868,710
869,717
870,715
871,712
872,711
873,717
874,715
875,711
876,711
877,715
878,718
879,712
880,715
881,718
882,719
883,708
884,709
885,718
886,717
887,713
888,713
889,717
890,719
891,710
892,711
893,717
894,711
895,714
896,712
897,710
898,715
899,711
900,712
901,715
902,709
903,714
904,718
905,718
906,716
907,711
908,708
909,716
910,713
911,708
912,712
913,717
914,714
915,715
916,710
917,719
918,713
919,711
920,708
921,714
922,707
923,711
924,717
925,712
926,711
927,706
928,710
929,719
930,720
931,714
932,710
933,716
934,719
935,708
936,708
937,714
938,713
939,710
940,712
941,712
942,716
943,711
944,710
945,712
946,708
947,716
948,715
949,715
950,714
951,712
952,712
953,720
954,715
955,705
956,714
957,714
958,713
959,713
960,709
961,709
962,717
963,710
964,708
965,713
966,716
967,708
968,709
969,717
970,713
971,712
972,710
973,716
974,714
975,707
976,714
977,716
978,718
979,712
980,713
981,715
982,710
983,714
984,710
985,712
986,713
987,710
988,711
989,708
990,717
991,710
992,713
993,716
994,717
995,711
996,712
997,715
998,718
