,0
0,602
1,595
2,598
3,600
4,603
5,592
6,593
7,598
8,599
9,590
10,594
11,598
12,599
13,598
14,587
15,605
16,589
17,592
18,590
19,605
20,602
21,590
22,598
23,600
24,594
25,591
26,590
27,603
28,597
29,598
30,598
31,597
32,597
33,596
34,597
35,599
36,597
37,599
38,591
39,603
40,596
41,591
42,587
43,593
44,603
45,592
46,590
47,602
48,598
49,599
50,586
51,607
52,592
53,591
54,589
55,600
56,600
57,594
58,591
59,603
60,596
61,603
62,593
63,599
64,589
65,587
66,593
67,603
68,592
69,597
70,597
71,597
72,603
73,587
74,592
75,599
76,603
77,595
78,596
79,596
80,596
81,600
82,593
83,609
84,595
85,588
86,586
87,600
88,597
89,592
90,592
91,597
92,595
93,593
94,587
95,594
96,598
97,592
98,598
99,597
100,596
101,591
102,593
103,600
104,600
105,599
106,598
107,603
108,598
109,596
110,591
111,600
112,597
113,589
114,594
115,594
116,596
117,595
118,596
119,593
120,603
121,591
122,591
123,604
124,595
125,593
126,588
127,600
128,593
129,595
130,586
131,597
132,591
133,596
134,590
135,593
136,600
137,598
138,591
139,605
140,597
141,591
142,587
143,598
144,600
145,596
146,596
147,605
148,596
149,587
150,601
151,595
152,588
153,589
154,583
155,592
156,591
157,597
158,589
159,594
160,603
161,586
162,596
163,604
164,600
165,591
166,598
167,594
168,598
169,595
170,590
171,603
172,597
173,591
174,591
175,596
176,593
177,598
178,599
179,605
180,595
181,590
182,593
183,597
184,593
185,594
186,589
187,594
188,591
189,590
190,594
191,598
192,590
193,588
194,593
195,597
196,597
197,598
198,596
199,603
200,592
201,598
202,595
203,593
204,596
205,594
206,593
207,594
208,600
209,601
210,596
211,597
212,592
213,588
214,588
215,602
216,594
217,595
218,599
219,601
220,598
221,594
222,591
223,595
224,598
225,588
226,598
227,595
228,594
229,593
230,587
231,602
232,592
233,598
234,596
235,600
236,597
237,594
238,594
239,601
240,597
241,586
242,591
243,602
244,599
245,591
246,594
247,590
248,592
249,595
250,592
251,597
252,602
253,592
254,596
255,603
256,594
257,589
258,591
259,601
260,596
261,594
262,599
263,593
264,594
265,589
266,592
267,598
268,595
269,590
270,595
271,603
272,593
273,583
274,589
275,598
276,594
277,592
278,596
279,592
280,592
281,598
282,592
283,598
284,591
285,594
286,590
287,592
288,598
289,591
290,594
291,600
292,588
293,590
294,595
295,600
296,591
297,595
298,601
299,599
300,597
301,583
302,595
303,597
304,598
305,597
306,591
307,594
308,594
309,599
310,602
311,597
312,594
313,593
314,591
315,598
316,596
317,586
318,596
319,599
320,596
321,594
322,601
323,594
324,595
325,594
326,591
327,595
328,583
329,589
330,587
331,597
332,596
333,583
334,594
335,597
336,591
337,582
338,590
339,601
340,596
341,589
342,594
343,597
344,596
345,592
346,598
347,607
348,589
349,590
350,596
351,601
352,592
353,581
354,590
355,598
356,595
357,582
358,592
359,593
360,593
361,588
362,591
363,595
364,595
365,594
366,593
367,606
368,585
369,587
370,593
371,596
372,605
373,592
374,600
375,594
376,594
377,586
378,594
379,592
380,594
381,592
382,595
383,599
384,596
385,589
386,601
387,593
388,588
389,586
390,593
391,596
392,588
393,590
394,599
395,596
396,592
397,598
398,594
399,595
400,593
401,589
402,600
403,605
404,594
405,593
406,594
407,590
408,599
409,591
410,592
411,610
412,599
413,594
414,597
415,599
416,585
417,599
418,596
419,595
420,593
421,596
422,587
423,603
424,592
425,588
426,595
427,599
428,586
429,590
430,588
431,602
432,593
433,598
434,588
435,602
436,598
437,593
438,591
439,597
440,596
441,591
442,593
443,586
444,595
445,595
446,588
447,601
448,594
449,585
450,598
451,602
452,596
453,593
454,606
455,591
456,587
457,589
458,596
459,596
460,594
461,589
462,593
463,598
464,598
465,586
466,599
467,595
468,594
469,581
470,597
471,604
472,588
473,585
474,591
475,594
476,591
477,588
478,599
479,599
480,590
481,594
482,596
483,606
484,597
485,588
486,595
487,590
488,597
489,583
490,594
491,587
492,588
493,594
494,587
495,598
496,595
497,583
498,598
499,595
500,591
501,591
502,595
503,603
504,596
505,605
506,596
507,594
508,587
509,586
510,594
511,604
512,582
513,592
514,593
515,600
516,594
517,589
518,593
519,595
520,597
521,589
522,598
523,594
524,599
525,592
526,600
527,600
528,591
529,589
530,597
531,594
532,585
533,587
534,589
535,599
536,593
537,587
538,596
539,602
540,589
541,588
542,596
543,594
544,590
545,586
546,591
547,601
548,593
549,587
550,598
551,596
552,587
553,594
554,597
555,595
556,597
557,592
558,596
559,600
560,589
561,591
562,593
563,600
564,596
565,590
566,591
567,592
568,586
569,590
570,594
571,593
572,588
573,597
574,593
575,594
576,588
577,590
578,587
579,600
580,594
581,598
582,598
583,596
584,593
585,595
586,598
587,595
588,590
589,586
590,592
591,591
592,602
593,589
594,597
595,596
596,582
597,591
598,596
599,593
600,598
601,597
602,595
603,596
604,587
605,594
606,590
607,591
608,589
609,592
610,597
611,595
612,596
613,592
614,593
615,593
616,595
617,593
618,592
619,597
620,595
621,597
622,592
623,591
624,589
625,590
626,593
627,591
628,584
629,585
630,593
631,593
632,598
633,593
634,589
635,593
636,591
637,587
638,590
639,598
640,592
641,596
642,596
643,592
644,591
645,596
646,598
647,596
648,593
649,596
650,596
651,596
652,591
653,595
654,593
655,603
656,587
657,586
658,588
659,593
660,596
661,601
662,590
663,585
664,594
665,592
666,594
667,593
668,594
669,587
670,594
671,595
672,596
673,587
674,591
675,597
676,586
677,589
678,596
679,599
680,595
681,585
682,594
683,597
684,590
685,589
686,597
687,597
688,595
689,592
690,591
691,595
692,597
693,586
694,598
695,589
696,596
697,587
698,587
699,600
700,587
701,588
702,594
703,590
704,587
705,588
706,598
707,589
708,592
709,594
710,591
711,591
712,585
713,585
714,587
715,597
716,585
717,588
718,592
719,595
720,593
721,585
722,595
723,588
724,584
725,584
726,589
727,592
728,588
729,588
730,597
731,595
732,588
733,593
734,593
735,591
736,593
737,590
738,590
739,594
740,589
741,585
742,591
743,586
744,582
745,583
746,591
747,592
748,589
749,592
750,591
751,591
752,586
753,586
754,589
755,592
756,592
757,586
758,591
759,591
760,591
761,586
762,592
763,595
764,590
765,595
766,600
767,591
768,586
769,588
770,589
771,587
772,593
773,583
774,594
775,595
776,592
777,590
778,596
779,590
780,587
781,588
782,587
783,598
784,595
785,587
786,590
787,589
788,588
789,577
790,593
791,589
792,588
793,587
794,592
795,586
796,590
797,585
798,591
799,588
800,589
801,582
802,599
803,591
804,579
805,588
806,587
807,588
808,584
809,584
810,594
811,592
812,589
813,583
814,585
815,597
816,585
817,589
818,594
819,587
820,582
821,586
822,598
823,590
824,583
825,589
826,591
827,593
828,587
829,590
830,584
831,595
832,588
833,584
834,589
835,590
836,592
837,590
838,593
839,588
840,589
841,587
842,599
843,598
844,593
845,585
846,588
847,595
848,588
849,585
850,599
851,596
852,594
853,580
854,596
855,591
856,592
857,587
858,601
859,590
860,594
861,587
862,595
863,592
864,590
865,591
866,597
867,594
868,591
869,599
870,594
871,596
872,589
873,590
874,596
875,597
876,584
877,585
878,602
879,594
880,588
881,585
882,601
883,592
884,586
885,592
886,593
887,597
888,597
889,584
890,591
891,592
892,595
893,591
894,595
895,593
896,585
897,586
898,589
899,589
900,597
901,587
902,596
903,590
904,595
905,587
906,597
907,596
908,589
909,589
910,596
911,592
912,586
913,582
914,592
915,596
916,596
917,594
918,598
919,597
920,594
921,592
922,597
923,597
924,594
925,596
926,592
927,593
928,593
929,591
930,595
931,598
932,593
933,592
934,591
935,599
936,595
937,588
938,590
939,591
940,588
941,584
942,595
943,595
944,586
945,583
946,598
947,594
948,589
949,590
950,593
951,586
952,599
953,589
954,592
955,597
956,587
957,591
958,592
959,589
960,590
961,593
962,597
963,597
964,593
965,584
966,590
967,588
968,588
969,591
970,595
971,593
972,591
973,587
