,0
0,645
1,653
2,652
3,646
4,646
5,647
6,639
7,641
8,648
9,646
10,647
11,644
12,646
13,653
14,646
15,639
16,643
17,650
18,655
19,645
20,648
21,653
22,650
23,640
24,643
25,653
26,644
27,646
28,641
29,649
30,647
31,642
32,641
33,654
34,650
35,642
36,644
37,657
38,648
39,637
40,643
41,656
42,644
43,644
44,647
45,651
46,648
47,643
48,645
49,651
50,646
51,650
52,640
53,652
54,647
55,648
56,642
57,656
58,652
59,643
60,644
61,652
62,645
63,643
64,647
65,654
66,651
67,646
68,652
69,651
70,647
71,638
72,646
73,650
74,646
75,641
76,645
77,655
78,651
79,648
80,645
81,648
82,649
83,638
84,646
85,648
86,649
87,647
88,647
89,650
90,642
91,644
92,647
93,654
94,652
95,647
96,644
97,653
98,649
99,639
100,646
101,648
102,648
103,645
104,643
105,646
106,643
107,640
108,642
109,653
110,643
111,642
112,650
113,647
114,643
115,640
116,651
117,648
118,647
119,642
120,645
121,655
122,642
123,643
124,645
125,648
126,652
127,643
128,645
129,645
130,646
131,646
132,644
133,653
134,643
135,645
136,646
137,657
138,650
139,643
140,646
141,651
142,651
143,645
144,637
145,645
146,650
147,648
148,648
149,650
150,647
151,645
152,645
153,655
154,644
155,653
156,645
157,652
158,647
159,641
160,645
161,650
162,648
163,643
164,639
165,654
166,652
167,649
168,648
169,655
170,649
171,640
172,650
173,648
174,649
175,648
176,648
177,648
178,646
179,642
180,641
181,649
182,649
183,650
184,646
185,652
186,649
187,646
188,640
189,656
190,652
191,636
192,641
193,651
194,647
195,651
196,641
197,654
198,651
199,643
200,651
201,652
202,645
203,640
204,647
205,657
206,650
207,645
208,646
209,652
210,645
211,648
212,647
213,656
214,649
215,644
216,646
217,654
218,651
219,645
220,646
221,651
222,652
223,646
224,644
225,651
226,647
227,643
228,639
229,652
230,651
231,645
232,647
233,653
234,649
235,645
236,644
237,651
238,645
239,645
240,648
241,653
242,651
243,649
244,647
245,655
246,649
247,640
248,641
249,652
250,649
251,646
252,643
253,650
254,650
255,646
256,646
257,655
258,654
259,644
260,637
261,655
262,648
263,644
264,645
265,655
266,648
267,647
268,641
269,648
270,642
271,644
272,645
273,652
274,647
275,644
276,649
277,653
278,646
279,649
280,639
281,647
282,649
283,642
284,647
285,654
286,646
287,641
288,644
289,654
290,644
291,649
292,646
293,649
294,651
295,641
296,648
297,648
298,647
299,646
300,649
301,651
302,650
303,640
304,650
305,651
306,652
307,649
308,649
309,659
310,645
311,648
312,645
313,647
314,648
315,645
316,642
317,653
318,647
319,647
320,642
321,653
322,646
323,644
324,648
325,646
326,652
327,647
328,648
329,654
330,647
331,647
332,644
333,654
334,651
335,642
336,643
337,654
338,652
339,645
340,643
341,654
342,651
343,647
344,643
345,657
346,651
347,644
348,641
349,654
350,642
351,646
352,642
353,651
354,643
355,637
356,646
357,655
358,653
359,642
360,645
361,649
362,652
363,648
364,647
365,652
366,647
367,642
368,639
369,650
370,649
371,648
372,648
373,645
374,643
375,649
376,644
377,651
378,653
379,652
380,643
381,650
382,652
383,641
384,643
385,648
386,650
387,644
388,650
389,644
390,650
391,643
392,644
393,653
394,642
395,643
396,648
397,647
398,653
399,646
400,643
401,654
402,645
403,644
404,638
405,650
406,650
407,643
408,641
409,657
410,646
411,650
412,651
413,649
414,653
415,642
416,647
417,655
418,646
419,644
420,653
421,650
422,657
423,642
424,644
425,655
426,644
427,644
428,643
429,648
430,649
431,647
432,644
433,647
434,648
435,650
436,646
437,651
438,653
439,642
440,649
441,653
442,650
443,644
444,644
445,654
446,651
447,644
448,645
449,653
450,649
451,643
452,645
453,654
454,652
455,638
456,641
457,652
458,649
459,643
460,644
461,652
462,644
463,642
464,645
465,647
466,653
467,646
468,642
469,653
470,644
471,647
472,645
473,648
474,648
475,641
476,642
477,645
478,649
479,649
480,647
481,650
482,646
483,645
484,643
485,652
486,650
487,645
488,644
489,647
490,646
491,650
492,644
493,649
494,643
495,646
496,645
497,645
498,650
499,643
500,645
501,650
502,646
503,643
504,646
505,651
506,649
507,650
508,644
509,654
510,650
511,649
512,649
513,648
514,649
515,642
516,644
517,660
518,648
519,641
520,646
521,649
522,654
523,646
524,642
525,648
526,650
527,645
528,643
529,652
530,654
531,643
532,647
533,656
534,644
535,645
536,641
537,652
538,644
539,642
540,645
541,654
542,646
