,0
0,787
1,780
2,781
3,784
4,787
5,778
6,782
7,783
8,781
9,784
10,782
11,783
12,779
13,784
14,782
15,781
16,783
17,786
18,783
19,785
20,779
21,782
22,785
23,777
24,779
25,783
26,780
27,777
28,782
29,782
30,784
31,785
32,780
33,784
34,788
35,782
36,781
37,778
38,782
39,781
40,781
41,781
42,784
43,781
44,784
45,781
46,784
47,778
48,780
49,786
50,780
51,780
52,785
53,785
54,781
55,782
56,784
57,782
58,781
59,781
60,782
61,786
62,779
63,778
64,782
65,779
66,782
67,782
68,779
69,785
70,782
71,776
72,782
73,783
74,780
75,782
76,784
77,785
78,782
79,783
80,783
81,780
82,778
83,784
84,784
85,782
86,786
87,782
88,781
89,784
90,782
91,778
92,777
93,783
94,781
95,781
96,780
97,783
98,781
99,779
100,778
101,782
102,779
103,780
104,779
105,774
106,782
107,778
108,778
109,777
110,779
111,782
112,783
113,777
114,779
115,780
116,779
117,783
118,785
119,782
120,779
121,783
122,783
123,782
124,786
125,779
126,780
127,773
128,782
129,779
130,781
131,781
132,778
133,779
134,780
135,782
136,784
137,785
138,778
139,785
140,777
141,778
142,780
143,784
144,782
145,780
146,778
147,786
148,779
149,780
150,780
151,785
152,780
153,782
154,779
155,781
156,778
157,779
158,780
159,774
160,777
161,777
162,777
163,781
164,777
165,777
166,777
167,778
168,776
169,781
170,772
171,779
172,774
173,782
174,780
175,781
176,775
177,781
178,776
179,781
180,781
181,782
182,782
183,778
184,781
185,781
186,777
187,781
188,778
189,777
190,774
191,776
192,775
193,780
194,782
195,776
196,779
197,780
198,778
199,780
200,778
201,780
202,777
203,777
204,778
205,775
206,777
207,780
208,774
209,777
210,776
211,778
212,783
213,778
214,775
215,776
216,783
217,783
218,780
219,778
220,775
221,780
222,777
223,780
224,774
225,776
226,775
227,777
228,781
229,778
230,784
231,777
232,775
233,778
234,778
235,780
236,776
237,776
238,777
239,780
240,781
241,779
242,780
243,779
244,780
245,779
246,776
247,781
248,776
249,778
250,776
251,772
252,780
253,776
254,778
255,778
256,779
257,775
258,781
259,780
260,779
261,780
262,778
263,781
264,779
265,777
266,777
267,776
268,778
269,776
270,779
271,781
272,786
273,775
274,778
275,779
276,783
277,776
278,779
279,779
280,781
281,777
282,779
283,777
284,776
285,777
286,782
287,778
288,780
289,776
290,779
291,778
292,779
293,779
294,781
295,777
296,774
297,778
298,780
299,781
300,782
301,776
302,778
303,773
304,781
305,781
306,779
307,779
308,779
309,778
310,777
311,774
312,778
313,778
314,781
315,779
316,781
317,780
318,778
319,774
320,779
321,777
322,778
323,782
324,785
325,778
326,780
327,783
328,780
329,782
330,783
331,777
332,776
333,777
334,777
335,779
336,780
337,780
338,784
339,774
340,778
341,777
