,0
0,790
1,785
2,793
3,788
4,788
5,788
6,800
7,789
8,791
9,790
10,793
11,789
12,793
13,790
14,790
15,791
16,792
17,792
18,788
19,791
20,794
21,786
22,788
23,793
24,791
25,791
26,795
27,788
28,790
29,790
30,784
31,787
32,790
33,793
34,792
35,792
36,791
37,792
38,793
39,792
40,794
41,794
42,791
43,796
44,790
45,791
46,792
47,795
48,792
49,793
50,788
51,790
52,794
53,791
54,793
55,786
56,794
57,792
58,793
59,787
60,791
61,792
62,787
63,786
64,787
65,791
66,790
67,788
68,794
69,794
70,790
71,786
72,790
73,796
74,791
75,790
76,788
77,795
78,793
79,783
80,791
81,787
82,786
83,795
84,795
85,791
86,795
87,791
88,786
89,792
90,788
91,790
92,793
93,793
94,792
95,793
96,790
97,788
98,794
99,789
100,788
101,790
102,792
103,796
104,790
105,791
106,788
107,790
108,793
109,792
110,790
111,784
112,787
113,790
114,788
115,794
116,792
117,787
118,789
119,789
120,792
121,788
122,789
123,790
124,789
125,789
126,786
127,792
128,788
129,796
130,788
131,793
132,785
133,791
134,791
135,794
136,789
137,793
138,794
139,796
140,789
141,796
142,794
143,795
144,791
145,795
146,791
147,792
148,788
149,793
150,791
151,797
152,797
153,798
154,787
155,792
156,788
157,791
158,792
159,791
160,797
161,792
162,792
163,792
164,791
165,794
166,797
167,789
168,790
169,793
170,790
171,799
172,792
173,789
174,793
175,790
176,787
177,789
178,794
179,795
180,791
181,792
182,794
183,791
184,791
185,792
186,788
187,790
188,790
189,796
190,784
191,783
192,788
193,794
194,793
195,797
196,791
197,785
198,793
199,792
200,787
201,788
202,788
203,793
204,797
205,790
206,789
207,788
208,797
209,795
210,790
211,790
212,794
213,792
214,794
215,788
216,792
217,796
218,795
219,798
220,792
221,789
222,795
223,791
224,794
225,783
226,788
227,790
228,792
229,792
230,797
231,796
232,794
233,795
234,795
235,792
236,796
237,796
238,787
239,792
240,794
241,790
242,799
243,794
244,793
245,793
246,788
247,798
248,792
249,792
250,790
251,791
252,797
253,788
254,794
255,792
256,797
257,799
258,794
259,792
260,789
261,784
262,794
263,799
264,789
265,786
266,793
267,793
268,790
269,793
270,791
271,784
272,790
273,793
274,792
275,794
276,794
277,791
278,795
279,794
280,794
281,794
282,794
283,790
284,789
285,785
286,784
287,795
288,786
289,791
290,798
291,787
292,793
293,798
294,798
295,799
296,789
297,791
298,796
299,789
300,794
301,791
302,791
303,789
304,792
305,790
306,786
307,789
308,792
309,788
310,787
311,798
312,797
313,791
314,798
315,796
316,789
317,788
318,794
319,789
320,794
321,792
322,792
323,787
324,792
325,791
326,791
327,795
328,793
329,791
330,800
331,796
332,799
333,798
334,798
335,794
336,797
337,793
338,798
339,791
340,792
341,797
342,792
343,796
344,787
345,795
346,793
347,793
348,796
349,796
350,792
351,795
352,796
353,790
354,787
355,799
356,792
357,797
358,791
359,795
360,788
361,781
362,790
363,788
364,799
365,790
366,794
367,789
368,789
369,792
370,796
371,801
372,790
373,800
374,791
375,797
376,787
377,798
378,795
379,793
380,794
381,791
382,795
383,794
384,796
385,795
386,794
387,793
388,793
389,794
390,795
391,795
392,795
393,794
394,797
395,798
396,797
397,787
398,792
399,795
400,793
401,793
402,796
403,789
404,791
405,797
406,798
407,792
408,794
409,799
410,797
411,797
412,791
413,798
414,796
415,802
416,787
417,793
418,800
419,802
420,794
421,796
422,799
423,792
424,795
425,797
426,791
427,796
428,792
429,797
430,797
431,795
432,798
433,801
434,795
435,796
436,801
437,799
438,791
439,799
440,790
441,790
442,803
443,795
444,801
445,803
446,795
447,795
448,786
449,797
450,794
451,792
452,801
453,800
454,797
455,795
456,799
457,793
458,794
459,800
460,793
461,801
462,800
463,795
464,800
465,799
466,798
467,794
468,800
469,796
470,798
471,799
472,788
473,800
474,794
475,797
476,799
477,801
478,794
479,804
480,802
481,794
482,800
483,797
484,794
485,793
486,798
487,800
488,802
489,798
490,800
491,805
492,787
493,796
494,796
495,795
496,797
497,797
498,801
499,796
500,800
501,794
502,800
503,797
504,806
505,801
506,802
507,801
508,799
509,796
510,799
511,801
512,797
513,798
514,792
515,798
516,809
517,797
518,799
519,798
520,799
521,801
522,796
523,799
524,797
525,797
526,795
527,800
528,800
529,800
530,798
531,801
532,800
533,799
534,794
535,802
536,803
537,798
538,801
539,794
540,804
541,799
542,803
543,802
544,800
545,797
546,795
547,796
548,800
549,798
550,797
551,799
552,795
553,795
554,798
555,805
556,798
557,793
558,800
559,803
560,797
561,797
562,801
563,800
564,797
565,789
566,807
567,798
568,800
569,791
570,797
571,805
572,799
573,803
574,805
575,797
576,799
577,801
578,804
579,797
580,801
581,805
582,798
583,797
584,796
585,805
586,796
587,803
588,803
589,802
590,800
591,802
592,795
593,801
594,802
595,798
596,798
597,795
598,801
599,793
600,800
601,804
602,796
603,802
604,801
605,797
606,803
607,805
608,796
609,808
610,806
611,807
612,798
613,791
614,800
615,797
616,803
617,795
618,796
619,804
620,799
621,799
622,811
623,804
624,798
625,800
626,802
627,792
628,791
629,804
630,803
631,802
632,803
633,801
634,796
635,803
636,803
637,799
638,797
639,793
640,805
641,808
642,804
643,798
644,803
645,801
646,794
647,806
648,802
649,797
650,798
651,801
652,794
653,799
654,802
655,797
656,798
657,800
658,805
659,793
660,799
661,803
662,794
663,796
664,801
665,798
666,797
667,800
668,797
669,799
670,802
671,797
672,795
673,802
674,796
675,798
676,800
677,793
678,797
679,804
680,795
681,791
682,793
683,802
684,796
685,798
686,800
687,804
688,797
689,800
690,802
691,794
692,798
693,797
694,799
695,798
696,802
697,797
698,800
699,800
700,795
701,793
702,801
703,796
704,805
705,796
706,804
707,797
708,800
709,798
710,798
711,797
712,794
713,807
714,804
715,796
716,801
717,800
718,802
719,800
720,802
721,798
722,794
723,806
724,802
725,799
726,799
727,799
728,795
729,793
730,796
731,799
732,800
733,793
734,804
735,795
736,802
737,792
738,799
739,798
740,804
741,793
742,799
743,792
744,802
745,794
746,798
747,796
748,794
749,796
750,796
751,798
752,800
753,795
754,797
755,798
756,799
757,796
758,796
759,804
760,800
761,798
762,800
763,800
764,796
765,795
766,788
767,801
768,802
769,794
770,794
771,790
772,797
773,800
774,795
775,793
776,793
777,794
778,796
779,794
780,795
781,799
782,798
783,794
784,796
785,798
786,798
787,794
788,799
789,801
790,793
791,792
792,795
793,794
794,794
795,802
796,803
797,797
798,793
799,799
800,798
801,795
802,795
803,802
804,802
805,798
806,795
807,789
808,799
809,800
810,800
811,796
812,798
813,797
814,800
815,800
816,802
817,800
818,804
819,796
820,797
821,793
822,800
823,801
824,794
825,800
826,794
827,802
828,799
829,800
830,798
831,794
832,795
833,797
834,798
835,798
836,800
837,797
838,796
839,793
840,799
841,799
842,793
843,797
844,798
845,803
846,797
847,793
848,800
849,792
850,802
851,798
852,797
853,797
854,791
855,798
856,797
857,801
858,796
859,796
860,798
861,801
862,796
863,794
864,799
865,794
866,794
867,800
868,800
869,799
870,799
871,798
872,791
873,799
874,801
875,796
876,796
877,794
878,795
879,799
880,801
881,800
882,801
883,802
884,793
885,798
886,795
887,802
888,798
889,796
890,801
891,798
892,795
893,792
894,800
895,798
896,792
897,796
898,793
899,800
900,801
901,796
902,799
903,795
904,796
905,796
906,792
907,799
908,798
909,790
910,797
911,802
912,794
913,806
914,795
915,798
916,802
917,795
918,797
919,795
920,801
921,796
922,797
923,797
924,792
925,800
926,799
927,795
928,797
929,801
930,789
931,792
932,795
933,792
934,802
935,792
936,794
937,789
938,797
939,793
940,790
941,803
942,794
943,793
944,802
945,801
946,792
947,792
948,799
949,796
950,799
951,800
952,796
953,791
954,799
955,799
956,800
957,798
958,800
959,796
960,800
961,804
962,798
963,803
964,802
965,800
966,798
967,802
968,795
969,792
970,795
971,791
972,798
973,799
974,803
975,794
976,800
977,799
978,800
979,804
980,793
981,796
982,797
983,794
984,796
985,802
986,800
987,800
988,804
989,799
990,802
991,804
992,802
993,802
994,799
995,800
996,792
997,794
998,795
999,801
1000,794
1001,793
1002,798
1003,792
1004,799
1005,797
1006,799
1007,797
1008,801
1009,793
1010,798
1011,801
1012,797
1013,796
1014,798
1015,800
1016,803
1017,800
1018,796
1019,796
1020,798
1021,797
1022,790
1023,803
1024,791
1025,794
1026,801
1027,802
1028,794
1029,799
1030,800
1031,799
1032,795
1033,797
1034,800
1035,802
1036,802
1037,803
1038,797
1039,803
1040,801
1041,796
1042,798
1043,800
1044,798
1045,802
1046,797
1047,801
1048,798
1049,802
1050,805
1051,798
1052,800
1053,798
1054,803
1055,802
1056,789
1057,804
1058,796
1059,799
1060,797
1061,797
1062,799
1063,807
1064,791
1065,800
1066,799
1067,798
1068,800
1069,801
1070,800
1071,799
1072,802
1073,797
1074,798
1075,795
1076,800
1077,802
1078,797
1079,792
1080,801
1081,799
1082,796
1083,804
1084,797
1085,803
1086,797
1087,796
1088,796
1089,807
1090,798
1091,803
1092,800
1093,803
1094,798
1095,799
1096,797
1097,804
1098,801
1099,800
1100,806
1101,803
1102,795
1103,794
1104,795
1105,804
1106,798
1107,799
1108,800
1109,805
1110,802
1111,800
1112,791
1113,795
1114,804
1115,797
1116,801
1117,796
1118,799
1119,805
1120,797
1121,802
1122,798
1123,799
1124,800
1125,797
1126,797
1127,798
1128,801
1129,796
1130,794
1131,802
1132,800
1133,789
1134,807
1135,795
1136,800
1137,804
1138,804
1139,799
1140,795
1141,803
1142,801
1143,797
1144,800
1145,795
1146,805
1147,803
1148,798
1149,795
1150,793
1151,797
1152,796
1153,795
1154,804
1155,796
1156,800
1157,799
1158,807
1159,800
1160,797
1161,803
1162,796
1163,801
1164,796
1165,804
1166,798
1167,793
1168,799
1169,795
1170,798
1171,796
1172,800
1173,800
1174,797
1175,794
1176,799
1177,803
1178,798
1179,789
1180,793
1181,792
1182,792
1183,799
1184,796
1185,799
1186,797
1187,800
1188,804
1189,799
1190,797
1191,800
1192,803
1193,801
1194,807
1195,798
1196,792
1197,799
1198,792
1199,794
1200,803
1201,793
1202,797
1203,797
1204,798
1205,796
1206,798
1207,795
1208,803
1209,802
1210,797
1211,802
1212,794
1213,797
1214,797
1215,798
1216,801
1217,796
1218,799
1219,800
1220,797
1221,794
1222,797
1223,806
1224,794
1225,799
1226,800
1227,800
1228,799
1229,799
1230,798
1231,796
1232,803
1233,794
1234,792
1235,793
1236,796
1237,800
1238,796
1239,798
1240,797
1241,797
1242,801
1243,798
1244,793
1245,799
1246,795
1247,796
1248,801
1249,794
1250,796
1251,801
1252,800
1253,793
1254,798
1255,796
1256,796
1257,800
1258,793
1259,800
1260,805
1261,797
1262,794
1263,792
1264,797
1265,797
1266,803
1267,800
1268,794
1269,800
1270,800
1271,798
1272,795
1273,799
1274,797
1275,802
1276,796
1277,804
1278,799
1279,798
1280,797
1281,789
1282,800
1283,792
1284,793
1285,795
1286,799
1287,798
1288,797
1289,798
1290,794
1291,795
1292,796
1293,800
1294,800
1295,799
1296,801
1297,801
1298,799
1299,796
1300,793
1301,803
1302,796
1303,797
1304,801
1305,799
1306,797
1307,797
1308,800
1309,796
1310,800
1311,799
1312,797
1313,794
1314,795
1315,798
1316,800
1317,798
1318,800
1319,799
1320,796
1321,795
1322,798
1323,798
1324,800
1325,802
1326,798
1327,801
1328,796
1329,799
1330,798
1331,800
1332,795
1333,795
1334,796
1335,800
1336,793
1337,797
1338,799
1339,795
1340,796
1341,798
1342,796
1343,795
1344,794
1345,795
1346,801
1347,799
1348,797
1349,795
1350,795
1351,797
1352,800
1353,797
1354,792
1355,803
1356,798
1357,804
1358,797
1359,801
1360,799
1361,795
1362,798
1363,797
1364,797
1365,799
1366,793
1367,799
1368,795
1369,794
1370,796
1371,794
1372,802
1373,796
1374,797
1375,796
1376,795
1377,798
1378,797
1379,796
1380,796
1381,798
1382,799
1383,793
1384,792
1385,794
1386,799
1387,793
1388,793
1389,798
