,0
0,580
1,580
2,580
3,579
4,580
5,580
6,578
7,579
8,580
9,579
10,580
11,579
12,580
13,579
14,579
15,579
16,583
17,577
18,578
19,578
20,580
21,578
22,578
23,579
24,580
25,582
26,578
27,579
28,574
29,579
30,578
31,578
32,578
33,578
34,578
35,578
36,580
37,578
38,572
39,580
40,577
41,579
42,579
43,578
44,579
45,578
46,580
47,579
48,578
49,577
50,578
51,577
52,578
53,577
54,579
55,577
56,577
57,578
58,576
59,574
60,578
61,580
62,578
63,580
64,577
65,577
66,578
67,578
68,577
69,578
70,579
71,578
72,578
73,578
74,578
75,578
76,577
77,578
78,577
79,578
80,577
81,579
82,579
83,578
84,579
85,577
86,580
87,576
88,579
89,578
90,578
91,579
92,579
93,578
94,576
95,577
96,577
97,578
98,579
99,575
100,578
101,579
102,577
103,579
104,577
105,568
106,577
107,575
108,581
109,574
110,576
111,574
112,577
113,576
114,577
115,578
116,578
117,577
118,577
119,578
120,578
121,577
122,577
123,580
124,578
125,577
126,577
127,578
128,578
129,577
130,577
131,577
132,580
133,577
134,578
135,578
136,577
137,577
138,577
139,578
140,577
141,577
142,578
143,578
144,578
145,577
146,573
147,577
148,580
149,578
150,579
151,580
152,578
153,577
154,577
155,577
156,577
157,582
158,577
159,578
160,578
161,576
162,577
163,576
164,576
165,574
166,576
167,578
168,576
169,577
170,576
171,578
172,577
173,578
174,577
175,577
176,578
177,577
178,577
179,578
180,578
181,577
182,575
183,579
184,582
185,577
186,576
187,571
188,577
189,576
190,577
191,578
192,577
193,576
194,575
195,576
196,577
197,576
198,577
199,577
200,577
201,577
202,576
203,577
204,577
205,576
206,577
207,577
208,578
209,575
210,580
211,576
212,580
213,576
214,578
215,577
216,577
217,577
218,576
219,576
220,576
221,576
222,575
223,576
224,577
225,577
226,576
227,575
228,575
229,576
230,576
231,576
232,575
233,575
234,577
235,576
236,576
237,576
238,575
239,577
240,577
241,576
242,576
243,578
244,576
245,576
246,576
247,576
248,577
249,576
250,571
251,577
252,578
253,576
254,577
255,577
256,575
257,575
258,575
259,578
260,575
261,576
262,577
263,577
264,574
265,576
266,575
267,574
268,576
269,579
270,577
271,575
272,577
273,575
274,578
275,577
276,577
277,576
278,573
279,575
280,575
281,577
282,575
283,575
284,576
285,575
286,576
287,576
288,578
289,576
290,575
291,572
292,575
293,575
294,577
295,576
296,576
297,575
298,576
299,575
300,575
301,574
302,577
303,575
304,574
305,576
306,575
307,576
308,575
309,576
310,576
311,577
312,574
313,571
314,576
315,576
316,576
317,575
318,575
319,577
320,575
321,576
322,576
323,578
324,575
325,574
326,576
327,575
328,577
329,574
330,575
331,575
332,575
333,575
334,576
335,574
336,574
337,575
338,575
339,575
340,576
341,575
342,575
343,576
344,574
345,576
346,574
347,575
348,578
349,575
350,574
351,575
352,572
353,574
354,574
355,577
356,575
357,575
358,574
359,575
360,576
361,574
362,572
363,574
364,574
365,573
366,570
367,575
368,573
369,576
370,574
371,574
372,576
373,576
374,575
375,574
376,575
377,576
378,576
379,574
380,574
381,574
382,577
383,575
384,574
385,576
386,575
387,576
388,574
389,576
390,576
391,576
392,574
393,576
394,573
395,576
396,574
397,578
398,574
399,575
400,574
401,576
402,575
403,575
404,575
405,574
406,574
407,574
408,574
409,575
410,572
411,573
412,579
413,573
414,574
415,572
416,576
417,576
418,574
419,573
420,573
421,574
422,574
423,573
424,574
425,573
426,574
427,573
428,576
429,575
430,575
431,573
432,575
433,574
434,575
435,574
436,573
437,574
438,574
439,574
440,576
441,573
442,574
443,574
444,576
445,575
446,574
447,573
448,574
449,573
450,575
451,576
452,577
453,574
454,574
455,575
456,576
457,574
458,575
459,573
460,575
461,574
462,575
463,574
464,574
465,571
466,575
467,573
468,574
469,574
470,574
471,573
472,572
473,573
474,574
475,575
476,575
477,573
478,573
479,574
480,575
481,574
482,575
483,574
484,573
485,572
486,574
487,573
488,575
489,575
490,574
491,573
492,572
493,574
494,576
495,571
496,575
497,575
498,574
499,574
500,568
501,573
502,575
503,575
504,574
505,573
506,574
507,575
508,572
509,571
510,573
511,574
512,571
513,572
514,574
515,575
516,570
517,575
518,575
519,573
520,575
521,572
522,571
523,574
524,574
525,575
526,574
527,574
528,574
529,576
530,575
531,573
532,572
533,573
534,572
535,573
536,574
537,573
538,574
539,574
540,573
541,576
542,573
543,575
544,573
545,574
546,571
547,575
548,574
549,573
550,573
551,574
552,573
553,573
554,573
555,572
556,573
557,572
558,573
559,573
560,574
561,574
562,573
563,576
564,573
565,574
566,573
567,575
568,573
569,571
570,573
571,573
572,573
573,571
574,573
575,573
576,573
577,574
578,573
579,573
580,575
581,573
582,574
583,573
584,572
585,574
586,574
587,573
588,574
589,573
590,573
591,573
592,574
593,574
594,575
595,574
596,573
597,572
598,574
599,577
600,574
601,573
602,573
603,574
604,574
605,573
606,572
607,572
608,574
609,573
610,573
611,575
612,573
613,574
614,573
615,573
616,573
617,572
618,573
619,572
620,574
621,574
622,573
623,573
624,574
625,573
626,573
627,573
628,571
629,574
630,573
631,573
632,572
633,573
634,573
635,575
636,573
637,571
638,572
639,572
640,572
641,575
642,571
643,574
644,573
645,573
646,575
647,573
648,572
649,568
650,573
651,575
652,574
653,571
654,573
655,572
656,575
657,572
658,574
659,576
660,573
661,574
662,570
663,573
664,573
665,572
666,574
667,572
668,572
669,574
670,574
671,574
672,574
673,570
674,572
675,574
676,573
677,572
678,573
679,571
680,573
681,575
682,572
683,573
684,572
685,572
686,574
687,574
688,571
689,572
690,573
691,573
692,574
693,573
694,571
695,573
696,570
697,573
698,572
699,572
700,571
701,574
702,571
703,573
704,572
705,571
706,573
707,571
708,572
709,572
710,572
711,573
712,573
713,574
714,574
715,572
716,572
717,572
718,572
719,572
720,572
721,572
722,572
723,571
724,572
725,571
726,573
727,572
728,573
729,575
730,571
731,572
732,572
733,572
734,572
735,572
736,572
737,573
738,569
739,572
740,572
741,573
742,571
743,570
744,573
745,573
746,572
747,573
748,571
749,572
750,572
751,572
752,573
753,574
754,569
755,571
756,573
757,573
758,572
759,568
760,573
761,570
762,571
763,572
764,572
765,571
766,572
767,571
768,573
769,572
770,571
771,571
772,571
773,570
774,572
775,572
776,573
777,566
778,572
779,573
780,572
781,570
782,572
783,571
784,572
785,574
786,572
787,571
788,572
789,573
790,572
791,571
792,575
793,572
794,572
795,572
796,572
797,572
798,572
799,570
800,573
801,570
802,571
803,572
804,573
805,572
806,570
807,569
808,571
809,573
810,571
811,572
812,571
813,572
814,570
815,571
816,573
817,570
818,571
819,571
820,572
821,572
822,571
823,573
824,573
825,567
826,572
827,570
828,571
829,571
830,571
831,570
832,572
833,572
834,571
835,571
836,571
837,571
838,570
839,571
840,566
841,573
842,568
843,570
844,571
845,568
846,573
847,572
848,569
849,570
850,568
851,571
852,570
853,572
854,572
855,573
856,572
857,573
858,570
859,571
860,569
861,572
862,570
863,572
864,570
865,572
866,571
867,572
868,572
869,572
870,571
871,571
872,571
873,571
874,571
875,571
876,571
877,571
878,571
879,570
880,571
881,571
882,571
883,571
884,572
885,573
886,572
887,572
888,570
889,572
890,569
891,571
892,570
893,572
894,570
895,571
896,570
897,572
898,571
899,572
900,571
901,572
902,570
903,569
904,571
905,570
906,571
907,571
908,570
909,573
910,571
911,570
912,572
913,570
914,573
915,571
916,569
917,569
918,570
919,571
920,571
921,571
922,571
923,570
924,570
925,573
926,570
927,571
928,572
929,572
930,570
931,570
932,571
933,570
934,571
935,570
936,571
937,571
938,571
939,573
940,570
941,570
942,571
943,571
944,572
945,572
946,571
947,569
948,570
949,571
950,571
951,572
952,571
953,572
954,571
955,571
956,569
957,571
958,571
959,570
960,571
961,573
962,571
963,570
964,570
965,572
966,570
967,571
968,570
969,571
970,572
971,572
972,572
973,573
974,571
975,572
976,571
977,571
978,572
979,571
980,570
981,571
982,572
983,571
984,571
985,571
986,572
987,572
988,571
989,571
990,571
991,572
992,572
993,571
994,571
995,573
996,569
997,571
998,573
999,571
1000,571
1001,571
1002,569
1003,572
1004,567
1005,572
1006,571
1007,573
1008,571
1009,573
1010,572
1011,573
1012,572
1013,573
1014,569
1015,576
1016,571
1017,573
1018,569
1019,572
1020,573
1021,572
1022,572
1023,572
1024,573
1025,573
1026,574
1027,572
1028,572
1029,574
1030,574
1031,572
1032,571
1033,573
1034,572
1035,572
1036,573
1037,572
1038,572
1039,575
1040,572
1041,574
1042,573
1043,573
1044,572
1045,573
1046,573
1047,574
1048,573
1049,574
1050,575
1051,570
1052,573
1053,572
1054,572
1055,570
1056,574
1057,574
1058,573
1059,573
1060,571
1061,572
1062,569
1063,578
1064,574
1065,573
1066,574
1067,574
1068,576
1069,574
1070,572
1071,574
1072,572
1073,573
1074,574
1075,572
1076,573
1077,574
1078,574
1079,574
1080,573
1081,575
1082,572
1083,574
1084,573
1085,574
1086,572
1087,573
1088,577
1089,575
1090,574
1091,575
1092,573
1093,574
1094,574
1095,574
1096,572
1097,574
1098,576
1099,575
1100,576
1101,573
1102,575
1103,575
1104,573
1105,573
1106,574
1107,576
1108,574
1109,574
1110,573
1111,572
1112,575
1113,576
1114,575
1115,574
1116,575
1117,577
1118,574
1119,575
